Company,Ticker,Segment,Segment description,Key products / services (keywords),Primary source,Link
AMAZON COM INC,AMZN,AWS,"AWS segment includes Amazon Web Services offerings, providing cloud computing services and infrastructure. It is a significant revenue contributor, reflecting the company's cloud platform business.",AWS,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Advertising services,"Advertising services segment includes programs such as sponsored ads, display, and video advertising that Amazon offers to publishers, authors, and others. This segment generates revenue through advertising solutions on Amazon's platforms.",Advertising services (4),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Online stores,Online stores segment comprises net sales from Amazon's direct online retail sales of consumer products and subscriptions. It represents the core e-commerce business of Amazon.,Online stores (1),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Physical stores,Physical stores segment includes net sales from Amazon's brick-and-mortar retail locations. This segment covers revenue generated from physical retail operations.,Physical stores (2),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Subscription services,"Subscription services segment includes annual and monthly fees associated with Amazon Prime memberships, as well as digital video, audiobook, digital music, e-book, and other non-AWS subscription services.",Subscription services (5); Amazon Prime,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Third-party seller services,"Third-party seller services segment includes fees from sellers who use Amazon's marketplace to sell their products. This segment covers commissions, fulfillment, and other seller-related services.",Third-party seller services (3),https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
"Meta Platforms, Inc.",META,Advertising,"Meta Platforms, Inc. generates substantially all of its revenue from selling advertising placements on its family of apps to marketers. These ads enable marketers to reach people across a range of marketing objectives, such as generating leads or driving awareness.",Advertising; Family of Apps,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",META,Family of Apps,"The Family of Apps (FoA) segment includes Meta's suite of applications designed to help people learn, get things done, create content, and connect with others. This segment is the primary source of the company's advertising revenue through placements on these apps.",Family of Apps; Advertising,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",META,Reality Labs,"Reality Labs (RL) is a segment reported separately from Family of Apps, focused on products such as AI glasses and web-based experiences designed to help people learn, create content, and connect. While currently generating less revenue than FoA, it represents Meta's investment in augmented and virtual reality technologies.",Reality Labs; Other revenue,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
NVIDIA CORP,NVDA,Automotive,"The Automotive segment focuses on AI model training and inference, data analytics, scientific computing, and 3D graphics with vertical-specific optimizations tailored for industries including automotive. It leverages NVIDIA's GPU technology to enable advanced applications in automotive and manufacturing sectors.",Automotive,Automotive text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Data Center,"The Data Center segment accelerates compute-intensive workloads such as AI, data analytics, graphics, and scientific computing. It includes compute and networking solutions that scale to tens of thousands of GPU-accelerated servers, supporting modern AI applications. Key platforms include the Hopper computing platform for large language models and Spectrum-X ethernet platform for AI networking.",Compute; Networking,Data Center text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Gaming,"The Gaming segment is centered on NVIDIA's GPU invention and innovations that have driven the PC gaming market and computer graphics. It includes products and software stacks that support gaming and compute-intensive applications, highlighted by the GeForce RTX 40 Series GPUs.",Gaming; GeForce RTX 40 Series GPUs,Gaming text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,OEM and Other,The OEM and Other segment includes various products and services not specifically detailed in the provided text but is recognized as a distinct revenue category in NVIDIA's filings.,OEM and Other,Revenue items from filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Professional Visualization,"The Professional Visualization segment delivers platforms that combine processors, interconnects, software, algorithms, systems, and services to address markets requiring advanced visualization capabilities. It supports compute-intensive workloads including graphics and scientific computing.",Professional Visualization,Professional Visualization text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
