Company Name,Business segment,Business item,Description of Business item,Textual description of the business item- Long form description,Primary source,Link
AMAZON COM INC,AWS,AWS,"AWS is listed as a group of similar products and services with net sales reported for 2022, 2023, and 2024.","AWS is included in Amazon's net sales breakdown by groups of similar products and services, which also have similar economic characteristics. The net sales for AWS are reported as $80,096 million in 2022, $90,757 million in 2023, and $107,556 million in 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Advertising services,Advertising services,Advertising services are a group of similar products and services with similar economic characteristics.,"Advertising services are reported as a distinct group in Amazon's net sales, reflecting products and services with similar economic characteristics. The segment includes offerings such as sponsored ads, display, and video advertising. Net sales for Advertising services were $37,739 million in 2022, $46,906 million in 2023, and $56,214 million in 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Online stores,Online stores,Net sales for Online stores are reported as a group of similar products and services.,"Net sales by groups of similar products and services, which also have similar economic characteristics, is as follows: Online stores generated $220,004 million in 2022, $231,872 million in 2023, and $247,029 million in 2024. These figures represent the performance of the Online stores segment.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Physical stores,Physical stores,Physical stores is a group of similar products and services with net sales reported separately.,"Physical stores is listed as a distinct group of similar products and services by Amazon, with net sales figures provided for the years 2022, 2023, and 2024. The segment is reported alongside other major business lines such as Online stores, Third-party seller services, and AWS.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Subscription services,Amazon Prime,Includes annual and monthly fees associated with Amazon Prime memberships.,"Amazon Prime is a subscription service for which Amazon collects annual and monthly fees. The service is included in the company's subscription services segment, along with other digital offerings.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Subscription services,digital video,Digital video is included as part of Amazon's non-AWS subscription services.,"Digital video is one of the subscription services offered by Amazon, alongside other digital content such as audiobooks, digital music, and e-books. These services contribute to the company's subscription services revenue.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Subscription services,audiobook,Audiobook subscriptions are part of Amazon's non-AWS subscription services.,"Audiobook is a digital content subscription service offered by Amazon. It is grouped with other digital services such as digital video, digital music, and e-books in the subscription services segment.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Subscription services,digital music,Digital music is included in Amazon's non-AWS subscription services.,"Digital music is a subscription service offered by Amazon, contributing to the company's subscription services revenue. It is listed alongside digital video, audiobooks, and e-books.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Subscription services,e-book,E-book subscriptions are part of Amazon's non-AWS subscription services.,"E-book is a digital content subscription service offered by Amazon. It is included in the subscription services segment, along with digital video, audiobooks, and digital music.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Third-party seller services,Third-party seller services,"Net sales for Third-party seller services are reported for the years 2022, 2023, and 2024.","Third-party seller services is a group of similar products and services with similar economic characteristics. Net sales for Third-party seller services were $117,716 million in 2022, $140,053 million in 2023, and $156,146 million in 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
"Meta Platforms, Inc.",Family of Apps,Family of Apps,We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL). Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",Family of Apps (FoA),Family of Apps (FoA),We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL). Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",Reality Labs,Reality Labs (RL),We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL). Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
NVIDIA CORP,Automotive,GPU,"The GPU was initially used to simulate human imagination, enabling the virtual worlds of video games and films.","The GPU was initially used to simulate human imagination, enabling the virtual worlds of video games and films. Today, it also simulates human intelligence, enabling a deeper understanding of the physical world. Its parallel processing capabilities, supported by thousands of computing cores, are essential for deep learning algorithms.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Automotive,CUDA programming model,"With our introduction of the CUDA programming model in 2006, we opened the parallel processing capabilities of our GPU to a broad range of compute-intensive applications.","With our introduction of the CUDA programming model in 2006, we opened the parallel processing capabilities of our GPU to a broad range of compute-intensive applications, paving the way for new uses in modern computing.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Compute & Networking,Compute & Networking,Compute & Networking is a reportable segment with significant revenue growth.,"Compute & Networking is one of NVIDIA's reportable segments, showing a substantial increase in revenue year over year. The segment's revenue grew from $47,405 million to $116,193 million, representing a 145% increase.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Graphics,Graphics,"Graphics is a reportable segment with revenue and operating income reported for the years ended Jan 26, 2025 and Jan 28, 2024.","Graphics is one of NVIDIA's reportable segments. The segment generated $14,304 million in revenue for the year ended Jan 26, 2025, compared to $13,517 million for the previous year, with a 6% increase. Operating income for the segment was $5,085 million in 2025, down from $5,846 million in 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
Apple Inc.,Mac,Mac,Mac net sales increased during 2025 compared to 2024.,"Mac net sales increased during 2025 compared to 2024. The table shows Mac net sales were $33,708 million in 2025, up 12% from $29,984 million in 2024 and $29,357 million in 2023.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,Services,Services,Services net sales increased during 2025 compared to 2024.,"Services net sales increased during 2025 compared to 2024, contributing to overall net sales growth in Japan and the Rest of Asia Pacific. The table shows Services net sales were $109,158 million in 2025, up 14% from 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
